type	latitude	longitude	altitude (m)	name	desc
T	59.911614093	10.733292590	3.8	Halvmaraton	name=Halvmaraton
T	59.911673677	10.733014053	3.9		
T	59.912030000	10.731450000	4.1		
T	59.912160000	10.731000000	4.8		
T	59.912500000	10.729580000	7.5		
T	59.912660000	10.728950000	8.1		
T	59.912820000	10.728340000	7.6		
T	59.913140000	10.727330000	13.3		
T	59.913110000	10.727020000	13.2		
T	59.912520000	10.725250000	10.6		
T	59.912450000	10.725070000	10.0		
T	59.912490000	10.724970000	10.1		
T	59.913100000	10.723560000	11.8		
T	59.913100000	10.723430000	11.5		
T	59.912020000	10.721950000	9.0		
T	59.911930000	10.721780000	8.4		
T	59.911930000	10.721640000	8.0		
T	59.911940000	10.721470000	8.0		
T	59.911940000	10.721090000	7.9		
T	59.911940000	10.719320000	7.0		
T	59.911930000	10.718590000	6.8		
T	59.911930000	10.718350000	6.8		
T	59.911900000	10.715310000	9.7		
T	59.911880000	10.714410000	10.4		
T	59.911830000	10.713520000	12.6		
T	59.911830000	10.713230000	12.0		
T	59.911910000	10.712650000	12.6		
T	59.911960000	10.712390000	13.0		
T	59.912530000	10.710690000	8.5		
T	59.912670000	10.710480000	7.9		
T	59.912850000	10.710460000	8.3		
T	59.912870000	10.709680000	8.7		
T	59.912960000	10.706700000	11.0		
T	59.913000000	10.706340000	11.1		
T	59.913060000	10.706040000	12.0		
T	59.913410000	10.704760000	14.1		
T	59.913580000	10.704120000	13.5		
T	59.913760000	10.703510000	14.2		
T	59.913980000	10.703080000	10.7		
T	59.914210000	10.702680000	10.0		
T	59.914390000	10.702310000	8.4		
T	59.914490000	10.702050000	7.2		
T	59.914660000	10.701680000	5.1		
T	59.914830000	10.701350000	4.9		
T	59.915070000	10.701020000	4.3		
T	59.915220000	10.700870000	4.8		
T	59.915370000	10.700790000	5.3		
T	59.915500000	10.700720000	5.8		
T	59.915620000	10.700690000	6.2		
T	59.916040000	10.700670000	7.7		
T	59.916250000	10.700570000	8.5		
T	59.916470000	10.700390000	10.0		
T	59.917320000	10.699500000	12.1		
T	59.917400000	10.699390000	12.1		
T	59.917460000	10.699240000	12.6		
T	59.917520000	10.699040000	13.1		
T	59.917810000	10.697570000	14.1		
T	59.917960000	10.697060000	15.3		
T	59.918090000	10.696770000	15.0		
T	59.918250000	10.696490000	14.6		
T	59.918360000	10.696340000	15.2		
T	59.918460000	10.696210000	15.3		
T	59.918650000	10.696030000	15.2		
T	59.918840000	10.695810000	15.0		
T	59.918990000	10.695590000	15.0		
T	59.919140000	10.695340000	14.2		
T	59.919260000	10.695090000	15.1		
T	59.919510000	10.694350000	14.4		
T	59.919590000	10.694260000	14.4		
T	59.919970000	10.694140000	14.8		
T	59.920250000	10.694140000	15.0		
T	59.920440000	10.694190000	15.8		
T	59.920530000	10.694230000	16.2		
T	59.920600000	10.694240000	16.3		
T	59.920660000	10.694220000	16.2		
T	59.920910000	10.694900000	18.2		
T	59.921110000	10.695320000	19.2		
T	59.921280000	10.695610000	19.7		
T	59.921680000	10.696090000	21.0		
T	59.922120000	10.696610000	25.8		
T	59.922430000	10.697060000	27.1		
T	59.922680000	10.697490000	29.0		
T	59.922980000	10.698160000	30.7		
T	59.923130000	10.698590000	32.0		
T	59.923250000	10.699040000	31.3		
T	59.923300000	10.699310000	31.6		
T	59.923330000	10.699600000	32.6		
T	59.923380000	10.700170000	33.7		
T	59.923370000	10.700650000	34.0		
T	59.923340000	10.700990000	34.0		
T	59.923120000	10.702200000	35.4		
T	59.922840000	10.703600000	33.0		
T	59.922830000	10.703790000	33.0		
T	59.922730000	10.704340000	32.9		
T	59.922720000	10.704460000	32.8		
T	59.922800000	10.704800000	33.4		
T	59.922810000	10.704960000	33.7		
T	59.924240000	10.707460000	36.3		
T	59.924820000	10.708440000	38.0		
T	59.925950000	10.710440000	41.2		
T	59.926940000	10.712060000	43.4		
T	59.927520000	10.710490000	44.1		
T	59.928370000	10.708370000	43.2		
T	59.928710000	10.707320000	43.0		
T	59.928860000	10.707070000	43.5		
T	59.929020000	10.706910000	44.1		
T	59.929160000	10.706860000	44.3		
T	59.929320000	10.706870000	44.8		
T	59.929480000	10.706980000	45.0		
T	59.929720000	10.707180000	45.1		
T	59.929800000	10.707200000	45.4		
T	59.929920000	10.707310000	45.7		
T	59.930170000	10.707460000	46.6		
T	59.930310000	10.707440000	47.1		
T	59.930430000	10.707390000	47.5		
T	59.930600000	10.707250000	48.2		
T	59.930760000	10.707030000	49.4		
T	59.930900000	10.706900000	50.7		
T	59.931260000	10.706380000	52.6		
T	59.931640000	10.705960000	53.5		
T	59.931940000	10.705660000	55.6		
T	59.932010000	10.705520000	56.2		
T	59.932100000	10.705500000	56.6		
T	59.932280000	10.705130000	58.1		
T	59.932470000	10.704660000	58.8		
T	59.932650000	10.704270000	59.5		
T	59.933040000	10.703580000	59.0		
T	59.933040000	10.703480000	58.7		
T	59.933070000	10.703380000	58.2		
T	59.933100000	10.703320000	58.0		
